name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
"JOHN J. BOLAND, Jr.",built as TYNEVILLE renamed in ’28 [year of launch],C149467,"propeller, steel, bulk freight","1928, Swan, Hunter & Wigham Richardson, Newcastle, England",253x44x24 1939gc 1149nc,"1932, Oct 5","9 miles off Barcelona, NY",Erie,storm,4 of 19,4,coal,"Bound Erie, Pa.,to Hamilton, Ont., she capsized and foundered in a gale. The end came so fast that her had no time to launch boats, and just dove overboard. Most of them were able to find an upturned lifeboatandmade it to shore, but 4 of their shipmates went down with the ship. Out of Sarnia, Ont., owned by Sarnia Steamship, St. Catharines.","mmgl,win,sol,ns4,h,ledc,csv,mpl,hcgl,ewe",Image from my collection,b,42.327021,-79.775588,geocoded_dist_offset
BOLIVAR,none,none,"schooner, wood","1825, Erie, Pa","68x17x7, 77 t.","1839, Nov (24-30)","near Presque’ile, Ont.",Ontario,storm,none mentioned,none,salt,"Bound from Oswego for Lake Erie, she went ashore on the Canadian side. Her crew was taken off by a Canadian steamer. The vessel was towed into Presqu’ile, but there is no evidence that she sailed again. Last known registration was May, 1839, Cleveland.","wmn,hgl,wmhs,wl",,b,43.478702,-77.275903,geocoded_lake_centroid_lake_corrected
SAMUEL BOLTON,"none also seen as SAM D. BOLTON, SAMUEL BOLTEN",57105,"schooner-barge, wood, bulk freight","1867, G Carpenter, Bangor, MI as a schooner",150x30x9 330g 314n,"1893, Sep 19","near Richmondville, MI",Huron,fog,none,none,lumber,"Lost from tow in a fog and drifted ashore, where she broke in two and was later torn apart by waves. Stripped and abandoned September 21. Bound Cheboygan for Tonawanda. Owned by Brazil Hoose, Detroit. She is probably the vessel found near Richmondville in 1960.","nsp,slh,sbs,vbs,mv,wb,hgl",,b,44.450573,-82.571402,geocoded_lake_centroid
BON VOYAGE,none,3497,"propeller, wood, passenger/package freight [coaster]","1891, Rogers & Brittain, Saugatuck, MI",153x30x17 500g 361n,"1901, May 10",near S entrance to Portage Ship Canal,Superior,fire,5 of 40,5,"passengers, general freight","She caught fire offshore and was beached to save her people, but burned to total loss on bar 1000ft from shore. A coroner’s jury later found that the owners of the the boat were to blame for the inadequate equipment and training that led to the disaster. Owned by Singer’s White Line Transit Co., Duluth. Master: Capt. Foley. Official report says only four were lost, but newspapers say five, including four female members of the same family. Much of her machinery & engine were stolen during the summer but the thieves were later caught and prosecuted.","nsp,gwgl,is(1-71),sol,ns1,h,mpl,hcgl,hl,es",Image from GLMD,b,47.294184,-87.485064,estimated_from_place_text_lake_corrected
HIRAM R. BOND,none,95966,"unrigged scow sandsucker, wood","1888, Milwaukee Ship Yard Co., Milwaukee [built as a propeller steamer]",(113x26x8 231g)*,"1905, May 29",off Milwaukee,Michigan,collision,none,none,sand,Rammed in a fog and sunk by the big carferry PERE MARQUETTE 20. The ferry rescued her crew. Master: Capt. Arthur Warrenger. File has accurate location of her loss. In June the wreck was dynamited. * specifications as steamer,"nsp,glc,mv,mpl",,b,43.012404,-87.853058,estimated_from_place_text
O.M. BOND,none,19383,"schooner, wood, 2-mast","1873, A. Miller & Co, Oswego, NY",137x25x11 315g,"1886, Oct 14","near Pte Aux Pins, Ont",Erie,storm,2 of 7,2,"22,000 bu wheat","Bound Detroit for Buffalo when a rapid shift of wind sent her on her beam ends. She lost steerageway and was driven ashore 4 mi W of Rondeau, Ont. Her crew stayed in her rigging until rescued by a local man in a skiff. She was on one of her first trips after the rebuild below. Out of Oswego, NY and owned by her skipper, Capt. Peter Lefevre. Sunk near Port Dalhousie. Ont.. in May of ’86. Raised and rebuilt at Buffalo. Sunk and recovered near Sand Beach, MI, in 1879.","nsp,slh,is,h,ledc,mv,osdo,wb,win,hgl,usls,sb,sip,es,ewl",,b,42.717361,-79.832426,geocoded_direct_lake_corrected
BONNIE DOON,none,2136,"schooner, wood","1855, W. Shupe, Huron, OH","133 ft, 255 t.","1867, Dec 6","Bois Blanc Isl., Straits of Mackinac",Huron,storm,?,none,lumber,"Bound Saginaw for Chicago, she was driven ashore and wrecked. Speculation was that she would eventually be raised, but after several attempts she was abandoned in April of 1868. Owned by E. L. Gillette, Chicago & T. M. Hilson, Detroit. Rebuilt in 1864. Another report of a vessel of this name shows her burned in 1880 at Meldrum Bay, Ont, L. Huron. Shown as a sloop, but may be the same vessel.","slh,hgl,ssm,nsp ,rsl ,wmhs",,b,45.947424,-83.923976,geocoded_direct
BONNIE MAGGIE,built as BONNIE BOAT,C51653,"propeller, wood, freighter","1859, J.M. Keating, Huron, OH",111x18x7 203gc 125nc,"1869, Oct 14","near Kincardine, Ont.",Huron,storm,?,none,?,"Thrown ashore and broken up by waves. Sold Canadian in 1865. Some sources say she was built at Sandusky, OH","mmgl,slh,csv,hgl,rsl,mdwl",,b,44.117779,-81.625415,estimated_from_place_text
A. BOODY,rebuilt as E.A. FULTON(qv) in 1898,872,"schooner, wood","1863, G. Rogers, Toledo, OH",137x25x11 287g 273n,"1887, Nov 10","off Pte Aux Barques, MI",Huron,stranded,none,none,iron ore or pig iron,"Struck Port Austin reef, declared a total loss, but after 10 days hard work she was finally pulled off. She was near the wreck of the big stranded steambarge OSCEOLA (qv). See E. A. FULTON for the rest of her career. Rebuilt 1872 and 84. Sold Canadian and rebuilt in 1894.","nsp,slh,ns2,mv,st,hcgl",Image from GLMD,b,44.261094,-82.700405,estimated_from_place_text_lake_corrected
L.H. BOOLE,none,14809,"propeller steam tug, wood","1858, L.H. Boole, Milwaukee","60x13x6, 57g 28n","1872, Oct 9","near South Haven, MI",Michigan,storm,?,none,?,Stranded and wrecked.,"mv,lhl,is,hgl,bb,hr",,b,42.236581,-86.43918,geocoded_direct
DANIEL BOONE,none,none,"schooner, wood","1854, Ruggles, Milan, Oh",273 t.,"1856, Oct 19",Manitoulin Island,Huron,storm,none mentioned,none,coal and lumber,"She was driven ashore and wrecked, a total loss of $11,500 to her underwriters.","nsp,wl,hr,blu[1856]",,b,44.773335,-82.920935,estimated_from_place_text_lake_corrected
A. BOOTH,none,106108,"propeller fish tug, wood","1882, J. P. Smith, Chicago","98x15x5, 45g 26n","1887, Aug 20",6 mi from Duluth,Superior,storm,none,none,?,"She sank 20 mi SW of Grand Marais, Minn., on August 27, 1886. Detroit wrecker S. A. Murphy took the contract to raise her and finally brought her up in late July, 1887, with the operation in charge of Capt. Falcon. While she was on her way to Duluth in tow, a storm tore off some of her floatation barrels and she capsized and sank in 120 feet of water. Owned by A. Booth & Co., Chicago.","wmn,hgl,nsp,mv,hr",,b,46.654824,-86.946515,estimated_from_place_text_lake_corrected
MARY BOOTH,none,16392,"scow-schooner, wood","1857, Bidwell & Banta, Buffalo","100x25x7, 132 t.","1877, Nov 4","off Milwaukee, about mid-lake",Michigan,storm,none,none,maple lumber,"She became waterlogged in a gale, but her crew doggedly clung to her until she appeared ready to turn turtle. Shortly after they abandoned her, she rolled over, but actually may have drifted to the east for several days. The crew landed at White Lake, Michigan after 48 frigid hours adrift, and they were all near death. Owned by George Bautsch, Chicago. Master: Capt. Owen Baker.","nsp,bb,mv,hr",,b,43.068711,-87.852414,estimated_from_place_text
BOSCOBEL,none,31430,"schooner-barge, wood, bulk freight","1876, Peshtigo Co., Algonac, MI*",167x32x11 504g 479n,"1909, Aug 1",mid-lake,Huron,storm,?,none,lumber,"Tow of steamer D.F. ROSE, she foundered in a moderate gale due to massive hull failure. *Built on the hull of the passenger & package freight prop of the same name [#2147], which was built in 1866, Peshtigo, WI by S V D Philbrook and burned near Ft Gratiot with 3 lives lost September 3, 1869. Raised in ’76. Sunk by ice near Turtle light, Lake Erie, in December of 1895 after stranding on a bar. Reportedly went down in deep water, but later recovered. Her crew was saved by the tug ROY. Reported sunk in 1902.","nsp,ns1,mv,lhl,st,mpl,mdwl,hcgl,bbas",,b,44.457656,-82.507892,geocoded_lake_centroid
BOSTON,none,none,"sidewheel steamer, wood, passenger/package freight","1846, John Robison, Detroit","205x30x13, 757t","1846, Nov 24",in the bay at Milwaukee,Michigan,storm,none,none,?,"The brand-new steamer ran out into the lake in a gale to prevent pounding against a pier at which she had been unloading. Lost her stacks and therefore her boiler fire draft and was backed onto the beach, where she pounded to pieces. Owned by the Michigan Insurance Co. of Detroit. An attempt was made to raise her the following spring.","lmdc,hdm,lhl,nsp,wl,hgl,wls",,b,43.113242,-87.741624,estimated_from_place_text
BOSTON,none,none,"propeller, wood, freighter","1847, Luther Moses, Ohio City, OH","134x21x10, 259 t","1854, Jul 28","15 to 20 miles off Oak Orchard, NY",Ontario,collision,none of 28,none,"pork, corn, whiskey & produce","Bound Chicago for Ogdensburg, NY. Collided with the bark PLYMOUTH and sank in about 20 minutes. Her crew and the few passengers abandoned in 3 lifeboats and made it to shore safely, the captain’s boat sailing 50 miles to Charlotte NY. Owned by Crawford & Co. of Ogdensburg. Master: Capt. McNett.","is,lhl,nsp,rp,hcgl",,b,43.564718,-77.143255,geocoded_dist_offset_lake_corrected
BOTHNIA,"built as JACK, renamed in 1896",C100661,"propeller, wood, bulk freight","1895, D. Calvin, Garden Isl., Ont",178x38x13 833gc 478nc,"1912, Jun 26",St. Clair Flats,St Clair,collision,1,1,?,"Collided with the steel steamer S.S. CURRY and sank near Star Island House. Later removed. CURRY’s rudder had broken, causing her to sheer. Built partially of tamarack. In 1895, following a collision which sank the steamer NORMAN(qv), an appraiser said her construction was strangest he had ever seen. See clip file.","win,mmgl,ns2,csv,mpl",Image from GLMD,b,42.47,-82.67,geocoded_direct
MARY N. BOURKE,none,92126,"schooner-barge, wood, bulk freight","1889, F. Maynard (or Nester), Baraga, MI",219x35x16 920g 874n,"1914, Sep 26","15 mi N of St. Ignace, MI",Superior,Fire,none,none,lumber,"Burned to the waterline while docked at Peter’s Lumber dock in St. Martin’s Bay. Crew was awakened at 9:30-10pm by smoke from the hold and escaped. Dock and a pile of lumber were also destroyed. Owned by D.C. Parson of Detroit, son of her skipper, Capt. Joseph Parsons. Built as 4-mast schooner-barge, reduced to 2 masts about 1909.","slh,ns2,mv,nsp,df,mpl,eas,hcgl",Image as 4-master from GLMD,b,46.643695,-86.115,geocoded_dist_offset_lake_corrected
ERASTUS BOWEN,none,none,"schooner, wood, 2-mast","1844, Chicago","66x15x5, 42 t [om]","1851, Apr","on Grosse Point, IL, below Chicago [Grosse Pointe, Mi also given]",Michigan,stranded,?,none,household goods,No detail,"lmdc,hgl,mpl,wl",,b,43.574276,-86.992304,estimated_from_place_text_lake_corrected
C.M. BOWMAN,none,C107191,"propeller, wood, freighter","1897, J. Strong, Saugeen, Ont. (also given as Port Elgin)","92x19x9, 88gc 60nc","1915, Dec 13","Vail’s Point, Georgian Bay",Huron,storm,?,none,?,"Blown ashore and wrecked. Later burned. Out of Saugeen, Ont.","mmgl,win,slh,h,csv",,b,43.883501,-81.725457,estimated_from_place_text_lake_corrected
BOXER,?,none,"schooner, wood",?,(16 t.)?,1818,"Mouth of Grand R., Ohio",Erie,sank,none,none,?,No detail,"is,(hgl)",,b,42.187463,-80.930154,geocoded_lake_centroid
ISABELLA J. BOYCE,none,100446,"propeller, wood, sandsucker [built as freighter]","1889, Burger & Burger, Manitowoc, WI",138x30x11 368g 317n,"1917, Jun 6",E side of Middle Bass Isl.,Erie,fire,none,none,sand,"Grounded, then destroyed by fire. Owned by Interlake Sand & Gravel, Co. Sunk near Marine City, Mich., in a collision with the propeller ATLANTIC in May of 1892, when the latter vessel ignored BOYCE’s turning signals. Built as a bulker, converted to sandsucker in 1915.","sol,ns2,mv,mpl,hcgl,ew","Image from GLMD Image as a wreck, same source",b,42.091638,-81.485417,estimated_from_place_text_lake_corrected
MARY H. BOYCE,none,C140994,"propeller, wood, bulk freight","1888, Duncan Robertson, Grand Haven, MI US#92033",181x34x14 864gc 477nc,1928,"Fort William, Thunder Bay, Ont.",Superior,fire,?,none,?,"Gutted by fire. Two reports of final disposition. Towed into the lake and scuttled or dismantled in 1936, maybe both. Sold Canadian in 1919","ns4,mmgl,mpl,hcgl",Image from GLMD,b,47.207188,-88.757728,geocoded_direct_lake_corrected
J. OSWALD BOYD,none,223043,"propeller, steel, fuel tanker","1913, Bow, McLachlan & Co., Paisley, Scotland","244x44x20, 1806g 1273n","1936, Nov 11","Simmons Reef, N side of Beaver Isl.",Michigan,"stranded, fire",none of 20,none,"900,000 gal gasoline","Standed as shown in the fall, her crew being rescued by U.S.C.G. from Beaver Island. On Jan 1, 1937, while being relieved of her cargo, she exploded and burned, killing several. Owned by Gotham Marine Corp. NY, NY. See MAROLD II for more detail. Remains were removed to Detour, MI in June of 1937, and scrapped in 1942. Twin-engined. Formerly British registry [BR#133540]","rkr,mv,gsgl,is,slh,lm,mpl,hcgl",Image from my collection Image as stranded on Simmons Reef,b,43.364142,-86.533328,estimated_from_place_text_lake_corrected
ALVA BRADLEY,"often seen as A. BRADLEY, ALVAH BRADLEY",1910,"schooner, wood, bulk freight","1870, Quayle & Martin, Cleveland",192x32x20 934g 900n,"1894, Oct 13",7 miles SW of N Manitou Isl.,Michigan,storm,none of 7,none,steel billets,"Sprang a leak and sank in a NW gale, in 48 feet of water. Her crew of 7 was rescued by the N. Manitou Lifesaving Service crew. The vessel & cargo were called a $45,000 loss, but her $18,000 cargo was later recovered. Master: Capt. Peterson. Owner: M. A. Bradley, Cleveland. Driven ashore with heavy damage after several days of pounding, Oct 23, 1887, on Shot Pt., near Marquette, Mich, Lake Superior. Declared a total loss, but recovered Nov 6. Major repairs in 1882, 1883, 1887","nsp,h,lmdc,wbm,gwgl,mv,nb,lss,hgl,wl,usls,hcgl",Image from GLMD,b,43.477905,-86.934642,estimated_from_place_text_lake_corrected
CARL D. BRADLEY,none,226776,"propeller, steel self-unloading bulk freighter","1927, American Shipbuilding Co., Lorain, OH hull #797","623x65x33 10,028g 7706n","1958, Nov 18","12 mi SW of Gull Isl., Beavers Group",Michigan,storm,33 of 35,33,in ballast,"Battling 30-foot waves and 65 mph winds , she rode up on a huge wave and broke in two, sinking quickly. The German motor vessel CHRISTIAN SARTORI was first on the scene, but was unable to find any of her crew. Extensive air-sea rescue operation by the Coast Guard yielded just two freezing survivors on a raft 14 hours later. She was bound Buffington Harbor, IL, for Calcite, MI, and was the 2nd largest vessel ever lost on the Lakes. Vessel owners and insurance companies claimed for years that she was simply overwhelmed by the storm, and didn’t break in two, but dives in the spring of 1997 confirmed that she had, thereby proving that it was hull failure rather than an act of God which killed her. Owned by Michigan Limestone Div., U. S. Steel [The Bradley Fleet]. Her homeport of Rogers City, MI was also the home of 33 of her crew. Master: Capt. Roland O. Bryan(d). Hull located in Sep ’59 in 360′ of water. Official U.S. Coast Guard Report (.pdf file, courtesy Kimm Satbelfeldt)","lol,mh,slh,glss,sol,is(4-59),h,lmdc,gn,eas,a&f,ns5,mpl,nsp,hcgl,kst,usgc",Image from my collection,b,44.534289,-86.415979,estimated_from_place_text_lake_corrected
CHARLES H. BRADLEY,none,145172,"propeller tug, wood","1878, Bates, Chicago",12 t,"1884, Sep 4",near the mouth of the Tahquamenon R.,Superior,storm,none,none,none,"She was nearing her destination to engage in a dredging operation when she developed a leak in heavy weather; her fires were extinguished and she began to sink. She was run ashore to save her crew and all six made it safely. Out of Cheboygan, Mich., owned by Smith Bros.","mr,hr,wl,mv",Image from GLMD Image of vessel as a wreck – same source,b,47.243634,-87.54288,geocoded_lake_centroid
THOMAS BRADLEY,?,none,"schooner, wood",East coast,?,"1856, Nov 4","7 mi S of St. Joseph, MI",Michigan,storm,none,none,"merchandise, machinery including two large boilers and two engines for a grist mill being built at South Haven","Bound New York City for South Haven, MI, she was driven ashore by a storm late in the season. On Christmas Eve she was reported not to be in danger of breaking up, and was expected to be taken off the next spring. However, this proved to be overly optimistic, and she broke up and became a total loss. Out of Fishburg, Mass., now Vinyard Haven, Martha’s Vinyard. Her skipper was Capt. Nathaniel Robbins, who later became superintendent of the U. S. Lifesaving Service for the Great Lakes and died on the job in 1898. This was reportedly the first vessel to bring a cargo from the U. S. East Coast to the lakes, and was the first saltie lost on the lakes. She had previously made five voyages to South America, three to the West Indies and one to Central America. Out of New York City, chartered for two years at $7,000 per year.","nsp,wmn,bcha,blu",,b,42.151012,-86.505521,geocoded_dist_offset
